Date,Signal,Price,Equity
0,BUY,11.180000305175781,99900.00000000001
4,SELL,11.050000190734863,98639.63273103144
35,BUY,16.1200008392334,98540.9930983004
45,SELL,15.079999923706055,92091.32090259134
53,BUY,15.720000267028809,91999.22958168875
58,SELL,15.539999961853027,90854.85571914104
60,BUY,16.350000381469727,90764.0008634219
66,SELL,15.949999809265137,88454.92825201119
89,BUY,24.100000381469727,88366.47332375917
90,SELL,23.510000228881836,86116.94105427327
106,BUY,30.5,86030.82411321899
109,SELL,29.0,81718.0001765268
115,BUY,32.29999923706055,81636.28217635027
122,SELL,26.399999618530273,66657.66784369436
127,BUY,31.524999618530273,66591.01017585066
137,SELL,26.524999618530273,55973.36127976575
139,BUY,28.725000381469727,55917.38791848598
175,SELL,25.524999618530273,49638.43324796225
180,BUY,27.024999618530273,49588.79481471429
199,SELL,20.020000457763672,36698.42520610459
204,BUY,21.3799991607666,36661.72678089849
207,SELL,20.799999237060547,35631.4946251674
219,BUY,27.149999618530273,35595.86313054223
227,SELL,24.75,32416.818682669407
244,BUY,37.0,32384.401863986735
249,SELL,35.150001525878906,30734.417923212855
256,BUY,39.349998474121094,30703.683505289642
268,SELL,35.32500076293945,27535.52929153855
274,BUY,39.36000061035156,27507.993762247013
275,SELL,38.63999938964844,26977.793111167575
281,BUY,42.0,26950.815318056408
288,SELL,38.439998626708984,24641.74558359431
293,BUY,42.29999923706055,24617.103838010717
298,SELL,41.540000915527344,24150.636876550874
303,BUY,43.880001068115234,24126.486239674323
312,SELL,40.119998931884766,22037.0698273831
314,BUY,41.939998626708984,22015.032757555717
315,SELL,39.63999938964844,20786.91553967598
321,BUY,43.400001525878906,20766.128624136305
328,SELL,41.119998931884766,19655.512757260145
338,BUY,49.400001525878906,19635.857244502884
347,SELL,46.18000030517578,18337.592746336875
352,BUY,49.599998474121094,18319.255153590537
358,SELL,44.18000030517578,16301.116501037834
365,BUY,47.459999084472656,16284.815384536796
377,SELL,47.119998931884766,16151.983940779015
400,BUY,62.400001525878906,16135.831956838236
426,SELL,56.099998474121094,14492.226056021796
431,BUY,58.45000076293945,14477.733829965775
437,SELL,58.70000076293945,14525.117755277593
447,BUY,62.29999923706055,14510.592637522315
471,SELL,58.29999923706055,13565.35445436107
475,BUY,59.349998474121094,13551.78909990671
483,SELL,56.25,12831.101403733608
489,BUY,64.55000305175781,12818.270302329875
520,SELL,56.150001525878906,11139.05681090956
525,BUY,58.400001525878906,11127.917754098651
533,SELL,54.900001525878906,10450.543887532987
542,BUY,62.45000076293945,10440.093343645454
548,SELL,56.20000076293945,9385.852897731276
549,BUY,57.79999923706055,9376.467044833546
555,SELL,56.099998474121094,9091.587786457298
577,BUY,68.0,9082.49619867084
600,SELL,67.55000305175781,9013.369460174357
630,BUY,89.6500015258789,9004.356090714184
641,SELL,78.0999984741211,7836.44110196113
645,BUY,84.0,7828.604660859168
647,SELL,84.0999984741211,7830.086361818103
661,BUY,115.9000015258789,7822.256275456286
668,SELL,110.5,7450.34467429817
669,BUY,120.4000015258789,7442.894329623871
675,SELL,117.30000305175781,7244.007184366565
678,BUY,118.80000305175781,7236.763177182198
680,SELL,123.0999984741211,7491.200906324114
689,BUY,134.5,7483.70970541779
692,SELL,137.39999389648438,7637.423094272252
697,BUY,144.1999969482422,7629.78567117798
705,SELL,132.3000030517578,6993.143330477832
707,BUY,137.0,6986.150187147354
712,SELL,132.1999969482422,6734.638426185555
723,BUY,144.5,6727.903787759369
724,SELL,141.5,6581.635900221335
725,BUY,144.10000610351562,6575.054264321114
728,SELL,142.60000610351562,6500.105036581689
729,BUY,148.39999389648438,6493.604931545107
730,SELL,140.3000030517578,6133.030837965128
754,BUY,187.0,6126.897807127163
763,SELL,174.1999969482422,5701.808950398075
771,BUY,180.1999969482422,5696.107141447676
781,SELL,173.5,5478.83646599452
783,BUY,177.39999389648438,5473.357629528526
796,SELL,216.3000030517578,6666.873874801468
797,BUY,215.0,6660.207000926667
799,SELL,217.0,6715.440252473887
803,BUY,215.60000610351562,6708.724812221413
809,SELL,204.0,6341.4250608835255
810,BUY,194.89999389648438,6335.083635822642
821,SELL,197.3000030517578,6406.681107047437
830,BUY,188.3000030517578,6400.27442594039
835,SELL,184.39999389648438,6261.446284682614
838,BUY,184.5,6255.184838397931
840,SELL,187.1999969482422,6340.377301225608
862,BUY,231.6999969482422,6334.036923924382
913,SELL,322.25,8800.614079383859
916,BUY,348.75,8791.813465304474
922,SELL,330.75,8329.704405292632
931,BUY,376.75,8321.37470088734
940,SELL,396.5,8748.840461401269
943,BUY,414.5,8740.091620939867
956,SELL,402.0,8468.041772704968
