Date,Equity,Peak,Drawdown
0,99900.00000000001,99900.00000000001,0.0
1,100436.13117030679,100436.13117030679,0.0
2,99453.21834364349,100436.13117030679,-0.978644652288136
3,99810.64196439844,100436.13117030679,-0.6227730983063511
4,98639.63273103144,100436.13117030679,-1.78869737249146
5,98639.63273103144,100436.13117030679,-1.78869737249146
6,98639.63273103144,100436.13117030679,-1.78869737249146
7,98639.63273103144,100436.13117030679,-1.78869737249146
8,98639.63273103144,100436.13117030679,-1.78869737249146
9,98639.63273103144,100436.13117030679,-1.78869737249146
10,98639.63273103144,100436.13117030679,-1.78869737249146
11,98639.63273103144,100436.13117030679,-1.78869737249146
12,98639.63273103144,100436.13117030679,-1.78869737249146
13,98639.63273103144,100436.13117030679,-1.78869737249146
14,98639.63273103144,100436.13117030679,-1.78869737249146
15,98639.63273103144,100436.13117030679,-1.78869737249146
16,98639.63273103144,100436.13117030679,-1.78869737249146
17,98639.63273103144,100436.13117030679,-1.78869737249146
18,98639.63273103144,100436.13117030679,-1.78869737249146
19,98639.63273103144,100436.13117030679,-1.78869737249146
20,98639.63273103144,100436.13117030679,-1.78869737249146
21,98639.63273103144,100436.13117030679,-1.78869737249146
22,98639.63273103144,100436.13117030679,-1.78869737249146
23,98639.63273103144,100436.13117030679,-1.78869737249146
24,98639.63273103144,100436.13117030679,-1.78869737249146
25,98639.63273103144,100436.13117030679,-1.78869737249146
26,98639.63273103144,100436.13117030679,-1.78869737249146
27,98639.63273103144,100436.13117030679,-1.78869737249146
28,98639.63273103144,100436.13117030679,-1.78869737249146
29,98639.63273103144,100436.13117030679,-1.78869737249146
30,98639.63273103144,100436.13117030679,-1.78869737249146
31,98639.63273103144,100436.13117030679,-1.78869737249146
32,98639.63273103144,100436.13117030679,-1.78869737249146
33,98639.63273103144,100436.13117030679,-1.78869737249146
34,98639.63273103144,100436.13117030679,-1.78869737249146
35,98540.9930983004,100436.13117030679,-1.8869086751189732
36,91694.46771224853,100436.13117030679,-8.703703892412246
37,100863.91448347339,100863.91448347339,0.0
38,103492.49109008657,103492.49109008657,0.0
39,103309.09795722245,103492.49109008657,-0.1772042888642829
40,92978.19049341111,103492.49109008657,-10.159481606760368
41,94017.39492719877,103492.49109008657,-9.155346502037585
42,94995.46831669839,103492.49109008657,-8.210279493602892
43,94506.43162194858,103492.49109008657,-8.682812997820239
44,92000.11710391149,103492.49109008657,-11.104548615195062
45,92091.32090259134,103492.49109008657,-11.016422609415121
46,92091.32090259134,103492.49109008657,-11.016422609415121
47,92091.32090259134,103492.49109008657,-11.016422609415121
48,92091.32090259134,103492.49109008657,-11.016422609415121
49,92091.32090259134,103492.49109008657,-11.016422609415121
50,92091.32090259134,103492.49109008657,-11.016422609415121
51,92091.32090259134,103492.49109008657,-11.016422609415121
52,92091.32090259134,103492.49109008657,-11.016422609415121
53,91999.22958168875,103492.49109008657,-11.105406186805705
54,92116.27404332884,103492.49109008657,-10.992311545438719
55,95920.31113731035,103492.49109008657,-7.316646718055036
56,94398.69406721645,103492.49109008657,-8.786914806171094
57,92525.94361220227,103492.49109008657,-10.596466818388107
58,90854.85571914104,103492.49109008657,-12.211161638717261
59,90854.85571914104,103492.49109008657,-12.211161638717261
60,90764.0008634219,103492.49109008657,-12.298950477078542
61,92929.0102892873,103492.49109008657,-10.207002159803197
62,90930.53353415438,103492.49109008657,-12.13803767173547
63,90264.38167463867,103492.49109008657,-12.781709355061604
64,88376.933758856,103492.49109008657,-14.60546284278055
65,88487.9573040598,103492.49109008657,-14.498185934055682
66,88454.92825201119,103492.49109008657,-14.530100377027072
67,88454.92825201119,103492.49109008657,-14.530100377027072
68,88454.92825201119,103492.49109008657,-14.530100377027072
69,88454.92825201119,103492.49109008657,-14.530100377027072
70,88454.92825201119,103492.49109008657,-14.530100377027072
71,88454.92825201119,103492.49109008657,-14.530100377027072
72,88454.92825201119,103492.49109008657,-14.530100377027072
73,88454.92825201119,103492.49109008657,-14.530100377027072
74,88454.92825201119,103492.49109008657,-14.530100377027072
75,88454.92825201119,103492.49109008657,-14.530100377027072
76,88454.92825201119,103492.49109008657,-14.530100377027072
77,88454.92825201119,103492.49109008657,-14.530100377027072
78,88454.92825201119,103492.49109008657,-14.530100377027072
79,88454.92825201119,103492.49109008657,-14.530100377027072
80,88454.92825201119,103492.49109008657,-14.530100377027072
81,88454.92825201119,103492.49109008657,-14.530100377027072
82,88454.92825201119,103492.49109008657,-14.530100377027072
83,88454.92825201119,103492.49109008657,-14.530100377027072
84,88454.92825201119,103492.49109008657,-14.530100377027072
85,88454.92825201119,103492.49109008657,-14.530100377027072
86,88454.92825201119,103492.49109008657,-14.530100377027072
87,88454.92825201119,103492.49109008657,-14.530100377027072
88,88454.92825201119,103492.49109008657,-14.530100377027072
89,88366.47332375917,103492.49109008657,-14.61557027665005
90,86116.94105427327,103492.49109008657,-16.78918910231709
91,86116.94105427327,103492.49109008657,-16.78918910231709
92,86116.94105427327,103492.49109008657,-16.78918910231709
93,86116.94105427327,103492.49109008657,-16.78918910231709
94,86116.94105427327,103492.49109008657,-16.78918910231709
95,86116.94105427327,103492.49109008657,-16.78918910231709
96,86116.94105427327,103492.49109008657,-16.78918910231709
97,86116.94105427327,103492.49109008657,-16.78918910231709
98,86116.94105427327,103492.49109008657,-16.78918910231709
99,86116.94105427327,103492.49109008657,-16.78918910231709
100,86116.94105427327,103492.49109008657,-16.78918910231709
101,86116.94105427327,103492.49109008657,-16.78918910231709
102,86116.94105427327,103492.49109008657,-16.78918910231709
103,86116.94105427327,103492.49109008657,-16.78918910231709
104,86116.94105427327,103492.49109008657,-16.78918910231709
105,86116.94105427327,103492.49109008657,-16.78918910231709
106,86030.82411321899,103492.49109008657,-16.872399913214778
107,83562.72670013484,103492.49109008657,-19.25720811242583
108,81940.83196238366,103492.49109008657,-20.824369865580824
109,81718.0001765268,103492.49109008657,-21.039681897893292
110,81718.0001765268,103492.49109008657,-21.039681897893292
111,81718.0001765268,103492.49109008657,-21.039681897893292
112,81718.0001765268,103492.49109008657,-21.039681897893292
113,81718.0001765268,103492.49109008657,-21.039681897893292
114,81718.0001765268,103492.49109008657,-21.039681897893292
115,81636.28217635027,103492.49109008657,-21.118642215995393
116,87323.02023317458,103492.49109008657,-15.62381066162281
117,82331.33179541709,103492.49109008657,-20.447047966262044
118,78540.17309086755,103492.49109008657,-24.11026900251043
119,79487.96276700494,103492.49109008657,-23.194463743448335
120,74685.8245513428,103492.49109008657,-27.834547449117427
