iter	MultiClass
0	1.08468041511	1.08269973222	1.075540653	3	1.0677033644	1.0632969545	1.044093408
66	1.05141773277	1.04426764388	1.03442083399	1.02868538710	1.012410198
11	1.004413068
12	0.9973405607
13	0.9882540599114	0.9825070585115	0.9784609128116	0.9732161934117	0.9650837986
18	0.9606657533
19	0.9564016554
20	0.9521411313
21	0.9484280316
22	0.9416123767
23	0.9365486195
24	0.9306814867
25	0.9268249825
26	0.9227866751
27	0.9186937397
28	0.9150032547
29	0.910809394
30	0.9056602615
31	0.8999454203
32	0.8960184532
33	0.893285945
34	0.8893328444
35	0.8843561077
36	0.8808074258
37	0.8766014318
38	0.8732577335
39	0.8703137268
40	0.8668866671
41	0.862167961
42	0.8577799145
43	0.8554090718
44	0.8532673284
45	0.8495696637
46	0.8466205587
47	0.843571127
48	0.8411112633
49	0.8366551203
50	0.8333941044
51	0.8313768051
52	0.829490432
53	0.8266880015
54	0.8227107791
55	0.8184912573
56	0.8142759615
57	0.8118143324
58	0.8078361805
59	0.8061690794
60	0.8027433597
61	0.7992063951
62	0.7958484553
63	0.7932517086
64	0.7902187544
65	0.7879339335
66	0.7853422517
67	0.7822473672
68	0.7784261752
69	0.7754299215
70	0.7740368117
71	0.7719831986
72	0.7686998544
73	0.7654200517
74	0.762147452
75	0.7597543774
76	0.7573616423
77	0.7547368602
78	0.7515912883
79	0.7491302633
80	0.7461197976
81	0.7427456118
82	0.7399416221
83	0.7366505097
84	0.7340027214
85	0.7309296147
86	0.7287366034
87	0.7266501243
88	0.725001838
89	0.723042215
90	0.7208256517
91	0.7194429732
92	0.7172753876
93	0.7147187109
94	0.7119213563
95	0.7091099088
96	0.7068094187
97	0.7042597661
98	0.7025648071
99	0.7003129001
100	0.6974194659
101	0.6943153164
102	0.6910987326
103	0.6889500739
104	0.6873014781
105	0.6862290733
106	0.6849330019
107	0.6826470762
108	0.6799741148
109	0.6774000101
110	0.674181661
111	0.6724386948
112	0.6691614057
113	0.6664844717
114	0.664907191
115	0.6623175771
116	0.6607338371
117	0.6576691009
118	0.6558797752
119	0.6535258462
120	0.6516154653
121	0.6479515278
122	0.6454622008
123	0.6426001818
124	0.6405499116
125	0.6382629226
126	0.6361150029
127	0.633876527
128	0.6319062326
129	0.6300418834
130	0.6285256499
131	0.6265154022
132	0.6250020262
133	0.6237114581
134	0.6205325103
135	0.6193698516
136	0.6166730848
137	0.6146457979
138	0.6126380434
139	0.6105608411
140	0.6084282722
141	0.6045768094
142	0.6018272094
143	0.5995405282
144	0.5974851066
145	0.5961306374
146	0.5948532613
147	0.5935434866
148	0.5911227615
149	0.5890782595
150	0.5864438727
151	0.584204717
152	0.5815763077
153	0.5792646835
154	0.5768154345
155	0.5750608153
156	0.5725368692
157	0.5699383769
158	0.5683818384
159	0.5655290087
160	0.5640432232
161	0.5609003026
162	0.557729859
163	0.5553567698
164	0.5532395824
165	0.5510997791
166	0.5496092656
167	0.5482364623
168	0.5453654885
169	0.543195593
170	0.5407707729
171	0.5385614324
172	0.5362054662
173	0.5344907131
174	0.5328465999
175	0.5302499283
176	0.5276051158
177	0.5258049232
178	0.5239396149
179	0.5229998207
180	0.5214011814
181	0.5199659858
182	0.518330529
183	0.5168921262
184	0.5155027492
185	0.5135670979
186	0.5119718549
187	0.5104417998
188	0.50940072
189	0.5078385514
190	0.5053951245
191	0.5045042549
192	0.5021609223
193	0.500621987
194	0.4995081774
195	0.4978182311
196	0.4961421779
197	0.4933946271
198	0.4905562873
199	0.4898073185
200	0.4882593683
201	0.4870013026
202	0.4854862349
203	0.4840325371
204	0.4830053495
205	0.4818134095
206	0.4809853496
207	0.479200723
208	0.4777954717
209	0.4757000616
210	0.474098624
211	0.4725312532
212	0.4708417325
213	0.4691651862
214	0.4675865591
215	0.4666042368
216	0.4655712774
217	0.4643962562
218	0.4620281639
219	0.4608897771
220	0.4594000763
221	0.4579221669
222	0.4568072049
223	0.4554344268
224	0.4531236741
225	0.4517179219
226	0.4503235282
227	0.4493784694
228	0.4481476626
229	0.4472845962
230	0.4459786988
231	0.4442950922
232	0.4430822741
233	0.4410264713
234	0.4399333101
235	0.438371834
236	0.4371979696
237	0.4355647937
238	0.4339458512
239	0.4325411385
240	0.4313628186
241	0.4297922818
242	0.4286583643
243	0.4275616116
244	0.4261522382
245	0.4244298203
246	0.4230522386
247	0.4216377519
248	0.4203208682
249	0.4192285826
250	0.4179722992
251	0.4168747638
252	0.4154282253
253	0.4140352386
254	0.4132517657
255	0.4115841843
256	0.409679943
257	0.4085377288
258	0.4071025198
259	0.4051696418
260	0.4038358819
261	0.4027208244
262	0.4004370038
263	0.3992601369
264	0.3971786639
265	0.3960496668
266	0.3946952523
267	0.3940730503
268	0.3924641653
269	0.3907917319
270	0.389470506
271	0.3888817489
272	0.3878139781
273	0.3865543611
274	0.3854528929
275	0.3840727774
276	0.383165782
277	0.3820006874
278	0.3806304755
279	0.3793818734
280	0.3781142301
281	0.3766282306
282	0.3758063626
283	0.3745873713
284	0.3732227108
285	0.3719352989
286	0.3704466536
287	0.3694152275
288	0.3683941153
289	0.3672396442
290	0.3660829084
291	0.3651555048
292	0.3643249293
293	0.3631754995
294	0.361900441
295	0.3608373805
296	0.3599246686
297	0.3590025716
298	0.3584261432
299	0.3572432216
